ID:21 +++$+++ equals:java.lang.String SN:java.lang.Object +++$+++ java.lang.String +++$+++  equals equals DI if else if else equals if get if
ID:22 +++$+++ get:java.util.Map SN:java.lang.String +++$+++ java.util.Map +++$+++  get get get get get get get = if if
ID:24 +++$+++ equals:java.lang.String SN:java.lang.Object +++$+++ java.lang.String +++$+++  equals equals equals DI if else if else equals if get if
ID:25 +++$+++ get:java.util.Map SN:java.lang.String +++$+++ java.util.Map +++$+++  get get get get get get get get = if if
ID:51 +++$+++ get:java.util.Map SN:java.lang.String +++$+++ java.util.Map +++$+++  get get get get get get get get get get get get get get get get get get get = if if
ID:79 +++$+++ get:java.util.Map SN:java.lang.String +++$+++ java.util.Map +++$+++  get get get get get get get get get get get get get get get get get get get get get get get get get get get get get = if if
ID:4 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append
ID:5 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append
ID:11 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append getSeverityString append getSeverityString append getSeverityString append
ID:13 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append getSeverityString append getSeverityString append getSeverityString append
ID:15 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append getSeverityString append getSeverityString append getSeverityString append
ID:16 +++$+++ append:java.lang.StringBuffer getSeverityString() +++$+++ java.lang.StringBuffer +++$+++ getSeverityString append getSeverityString append getSeverityString append
ID:23 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append getSeverityString append getSeverityString append getSeverityString append
ID:27 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append getSeverityString append getSeverityString append getSeverityString append
ID:35 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append append append append append getSeverityString append getSeverityString append getSeverityString append
ID:52 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append getSeverityString append
ID:57 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append getSeverityString append getVisibilityString append
ID:73 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append getSeverityString append
ID:76 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append versionFromJdkLevel append versionFromJdkLevel append versionFromJdkLevel append
ID:82 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append concatWith String new append concatWith String new append
ID:83 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append concatWith String new append concatWith String new append
ID:98 +++$+++ append:java.lang.StringBuffer String +++$+++ java.lang.StringBuffer +++$+++  append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append append getSeverityString append getSeverityString append getSeverityString append
